"","CoorX","CoorY","PlotID0","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID"
"5218",410998,4083009,"29.286",29,29,286,"A","1",0,1984,"L","0008","2002","","4-1 ","2007","",1,"1","2",70,30,1,2,2,2,2,4,"","",1,2,1,1,5,2,NA,NA,"0","3","4","1","",25,NA,10,NA,2,"2",2,"[PIESMAY 002-026]ENTRA POR PENDIENTE.
29,[PIESMAY 003-021]DM CORRECTOS.
29,[PIESMAY 007-026]DM Y HT CORRECTOS.
29,[PIESMAY 011-025]DM Y HT CORRECTOS.
29,[PIES MAYORES]COMPROBADOS SP.021 A 94 Y 395G.
29,[LOCALIZACIÓN ACCESO LEVANTAMIENTO]REJON ENCONTRADO, REFERENCIAS CROQUIS DEL IFN2.PRECISION GPS:5,3M.",16,99,"01/10/07 00:00:00","12/30/99 11:48:53","01/10/07 00:00:00","12/30/99 13:43:26",NA,"297","","","",NA,NA,NA,NA,NA,NA,"T",NA,"29.286.A.1"
"6885",481962,4112999,"18.1220",18,18,1220,"A","1",0,1985,"j","0016","2002","","2-2 ","2007","",1,"1","2",95,90,1,2,1,2,2,4,"","",1,2,1,1,8,2,NA,NA,"0","4","","4","",360,NA,2.8,NA,3,"2",2,"PARCELA LOCALIZADA POR LOS PIES DEL IFN2.
18,OCUPACIONES COMPROBADAS.
18,A 13.2M Y 105G NO ENTRA 021 POR DIAMETRO.
18,A 135G. Y 14.7M NO ENTRA 021 POR DIAMETRO.
18,A 174G. Y 11.8M NO ENTRA 021 POR DIAMETRO.
18,A 227G. Y 12.3M NO ENTRA 021 POR DIAMETRO.
18,A 291G. Y 5.3M NO ENTRA 021 POR DIAMETRO.
18,HAY ROSA FUERA DE 10M.
18,NO HAY MANIFESTACIONES EROSIVAS.
18,EL TRATAMIENTO SELVICOLA CONSISTE EN LA PODA BAJA.
18,EL SUELO ESTA ACABALLONADO ( TRACCION ANIMAL) DE LA PLANTACION.
18,HAY UNA CLARA ANTIGUA( YA ESTABA EN EL IFN2).
18,PRESENCIA DE GANADO VACUNO.",98,99,"08/01/07 00:00:00","12/30/99 10:47:59","08/01/07 00:00:00","12/30/99 12:48:15",NA,"896","380","170","10",1,55,55,1,56,56,"T",NA,"18.1220.A.1"
"7142",488000,4109000,"18.1355",18,18,1355,"A","3E",0,2002,"","1-1 ","1985","k","0003","2007","",1,"1","2",95,90,1,2,3,2,2,4,"","",1,2,1,6,8,2,NA,NA,"0","0","","0","",135,NA,12.5,NA,1,"2",2,"PARCELA CLASIFICADA COMO A3E POR ESTAR LA DE COMPARACION EN EL LIMITE DE DOS TESELAS.(DICHO LIMITE VA POR UN ARROYO DONDE HAY SALIX; PERO EN EL RESTO DE LA TESELA DEL EJE HAY PINOS SILVESTRE Y PINASTER.) LOS DATOS QUE MARCA LA TESELA NO SON CORRECTOS, PUES ES EXCLUSIVAMENTE EN LA LINEA DEL ARROYO DONDE EXISTEN LAS SP RIPICOLAS; EN EL RESTO (95% DE LA TESELA ES PINO).
18,PARCELA SIN NECESIDAD DE DESPLAZAR.
18,DEJO UN 10% PARA EL RESTO.
18,A 11G. Y 13.8M NO ENTRA 021 POR DIAMETRO.
18,A 144G. Y 8.3M NO ENTRA 021 POR DIAMETRO.
18,A 145G. Y 5.9M NO ENTRA 021 POR DIAMETRO.
18,A 213G. Y 20.8M NO ENTRA 026 POR DIAMETRO.
18,A 214G. Y 13.6M NO ENTRA 026 POR DIAMETRO.
18,A 240G. Y 12.9M NO ENTRA 021 POR DIAMETRO.
18,A 266G. Y 11.7M NO ENTRA 021 POR DIAMETRO.
18,A 312G. Y 18.4M NO ENTRA 026 POR DIAMETRO.
18,A 392G. Y 15.8M NO ENTRA 021 POR DIAMETRO.
18,HAY SALIX Y SERBAL EN LOS ALREDEDORES (JUNTO AL ARROYO).
18,NO HAY CHOPO.
18,SP MAT; 2103 ES 11630
18,SP MAT; 116 ES B.HISPANICA.
18,HAY DESLIZAMIENTOS DEL TERRENO Y DE LAS PIEDRAS SUPERFICIALES A CAUSA DE LA FUERTE PENDIENTE.
18,NO HAY TRATAMIENTOS SELVICOLAS.
18,HAY PRESENCIA DE GANADO VACUNO.",98,99,"07/30/07 00:00:00","12/30/99 11:02:17","07/30/07 00:00:00","12/30/99 13:14:53",NA,"896","210","40","10",111111,51,51,111111,52,52,"T",NA,"18.1355.A.3E"
"7220",489919,4108934,"18.1356",18,18,1356,"A","3C",0,1985,"k","0004","2002","","1-3 ","2007","",1,"1","2",85,60,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",260,NA,7.8,NA,3,"3",2,"PARCELA CLASIFICADA COMO A3C POR ESTAR EL REJON A 6M DE UN CLARO TESELADO; INFLUYENDO EN  LA FCCT Y FCCA, LA OCUPACION Y EL MOD. DE COMB.
18,A 34G Y 14.6M NO ENTRA 021 POR DIAMETRO.
18,A 206G Y 10.8M NO ENTRA 021 POR DIAMETRO.
18,A 220 Y 11.6M NO ENTRA 021 POR DIAMETRO.
18,HAY PEQUEÑOS PINOS DE LA CAT1( NO PROSPERARAN) EN 5M.
18,HAY CYTISUS PURGANS, TOMILLO, ROSA Y BERBERIS.
18,EL MOD DE COMBUSTIBLE EN EL 50% DE LA PARCELA SERIA 05 ).
18,NO HAY MANIFESTACIONES EROSIVAS NI NINGUN TRATAMIENTO SELVICOLA.
18,EL SUELO ES SILICEO.",98,99,"06/12/07 00:00:00","12/30/99 12:23:52","06/12/07 00:00:00","12/30/99 13:29:43",NA,"896","","","",NA,NA,NA,NA,NA,NA,"T",NA,"18.1356.A.3C"
"7237",489987,4110020,"18.2424",18,18,2424,"N","N",0,2002,"","1-1 ","","","","2007","",1,"1","1",85,80,1,2,2,2,3,4,"","",1,2,1,6,4,0,NA,NA,"0","0","","5","",130,NA,5,NA,2,"2",2,"[CLAESP. RESTO DE ESPECIES=20%
18,PARCELA LOCALIZADA CON GPS AL SER NUEVA.
18,COORDENADAS: X: 489987 Y: 4110020 1824 M 5.7 PREC.
18,OCUPACION COMPROBADA.
18,ESPS PRESENTES: P SYLVESTRIS, P PINASTER, Q ILEX, C MONOGYNA
18,[MATORRAL] GENISTA CINEREA
18,[CLAESP. RESTO DE ESPECIES=20%]",98,99,"07/04/07 00:00:00","12/30/99 15:01:00","07/04/07 00:00:00","12/30/99 17:13:57",NA,"975","85","224","10",100,103,103,100,104,104,"T",9,"18.2424.N.N"
"7241",490000,4109000,"18.1356",18,18,1356,"A","3E",0,2002,"","1-3 ","1985","k","0004","2007","",1,"1","2",95,95,1,2,3,2,2,4,"","",1,2,1,4,9,3,NA,NA,"0","0","","0","",105,NA,7,NA,1,"3",2,"PARCELA CLASIFICADA COMO A3E POR ESTAR LA DEL IFN2 A 6M DE UNA TESELA, CAMBIANDO LAS FCC Y LAS OCUPACIONES.
18,A 14.8M Y 20G. NO ENTRA 026 POR DIAMETRO.
18,A 12.8M Y 41G. NO ENTRA 021 POR DIAMETRO.
18,A 85G. Y 10.6M NO ENTRA 026 POR DISTANCIA Y POR DIAMETRO.
18,A 161G. 10.2M NO ENTRA 021 POR DISTANCIA.
18,A 176G. Y 14.5M NO ENTRA 021 POR DIAMETRO.
18,A 195G. Y 12.4M NO ENTRA 021 POR DIAMETRO (MUY JUSTO).
18,A 266G. Y 8.3M NO ENTRA 021 POR DIAMETRO.
18,A 334G Y 6.9M NO ENTRA 021 POR DIAMETRO.
18,A 349G. Y 11.8M NO ENTRA 026 POR DIAMETRO.
18,FUERA DE 10M HAY ADENOCARPUS DECORTICANS Y ESPARTO.
18,HAY UNA CARCAVA A 3M DEL REJON.SE DESPRENDE EL TERRENO.
18,EL MOD. DE COMBUSTIBLE ES CORRECTO.
18,NO HAY TRATAMIENTOS SELVICOLAS. EL SUELO ESTABA SUBSOLADO PERO ESTA PERDIDO CASI EN SU TOTALIDAD.
18,",98,99,"06/12/07 00:00:00","12/30/99 13:48:57","06/12/07 00:00:00","12/30/99 15:15:11",NA,"896","20","265","10",111111,49,49,111111,50,50,"T",NA,"18.1356.A.3E"
"7289",491000,4110000,"18.1343",18,18,1343,"A","4C",0,1985,"j","0005","2002","","1-2 ","2007","",1,"1","2",90,90,1,2,3,2,2,4,"","",1,2,1,1,5,2,NA,NA,"4","4","","4","",340,NA,5.2,NA,3,"2",2,"PARCELA CLASIFICADA COMO 4AC POR NO TENER PIES EN EL IFN2 ( REJON EN UN CLARO DE LA MASA) , ESTAR EL EJE DE COORD. EN LA MISMA TESELA Y SER INCORPORACIONES LOGICAS LOS MEDIDOS EN EL IFN3.
18,OCUPACIONES COMPROBADAS.
18,A 14.2M Y 001G. NO ENTRA 026 POR DIAMETRO.
18,A 13.0M Y 26G. NO ENTRA 026 POR DIAMETRO.
18,A 6.1M Y 200G. NO ENTRA 021 POR DIAMETRO.
18,A 7.4M Y 214 NO ENTRA 021 POR DIAMETRO.
18,A 9.0M Y 225G. NO ENTRA 021 POR DIAMETRO (MUY JUSTO).
18,A 5.5M Y 284G NO ENTRA 021 POR DIAMETRO.
18,HAY RUBIA PEREGRINA.
18,FUERA DE 10M HAY CYTISUS SCOPARIUS.
18,MOD. DE COMBUSTIBLE CORRECTO AL NO ESTAR LA MASA MUY CERRADA.
18,EL TRATAMIENTO SELVICOLA CONSISTE EN LA ENTRESACA DE LA MASA DE ENCINAS.PODA DE ENCINAS.
18,LOS PINOS NO TIENEN NINGUN TRATAMIENTO, SE OBSERVAN ACABALLONADOS DE LA PLANTACION.
18,NO HAY MENIFESTACIONES EROSIVAS.",98,99,"06/07/07 00:00:00","12/30/99 13:47:49","06/07/07 00:00:00","12/30/99 15:19:49",NA,"896","255","105","10",111111,43,43,111111,44,44,"T",NA,"18.1343.A.4C"
"7293",491000,4735000,"1.944",1,1,944,"A","1",0,1992,"14","1618","2002","","1-3 ","2005","",1,"1","1",100,70,1,2,2,1,2,4,"","",1,2,1,1,7,3,NA,NA,"0","0","","0","",380,NA,10,NA,2,"2",2,"PARCELA ENCONTRADA POR FOTOGRAFIA AEREA Y PIES DE IFN2.
01,CLAESP. RESTO DE ESPECIES=20%
01,[PIESMAY 003-044]ALTURA COMPROBADA.
01,PIE 4, RUMBO COMPROBADO.
01,[PIESMAY 010-026]ALTURA COMPROBADA.
01,[PIESMAY 019-021]COPA PARTIDA.
01,HAY ALGUN PINO SYLVESTRIS CON DAÑOS POR PROCESIONARIA.  ",2,9900000006020480,"07/15/05 00:00:00","12/30/99 09:01:43","07/15/05 00:00:00","12/30/99 11:21:35",NA,"1001","40","210","8",222048,28,12,222048,29,11,"T",9900000010051024,"1.944.A.1"
"7378",492936,4109954,"18.1345",18,18,1345,"A","1",0,1985,"j","0006","2002","","1-2 ","2007","",1,"1","2",85,70,1,2,4,2,2,4,"","",1,2,1,1,6,1,NA,NA,"0","0","","5","",250,NA,8.5,NA,2,"1",2,"[CLAESP. RESTO DE ESPECIES=0%]
18,[PIES MAY 010-045] MEDIDO A 1.25M.  021 A 8.8M Y 228G NO ENTRA POR POCO DIAMETRO.",98,99,"07/13/07 00:00:00","12/30/99 14:24:48","07/13/07 00:00:00","12/30/99 15:25:49",NA,"975","290","90","10",1,123,123,1,124,124,"T",9,"18.1345.A.1"
"7525",495946,4109979,"18.1348",18,18,1348,"A","1",0,1985,"j","0007","2002","","1-2 ","2007","",1,"1","2",95,85,1,2,2,2,2,4,"","",1,2,1,1,6,2,NA,NA,"0","0","","0","",210,NA,6,NA,2,"2",2,"[CLAESP. RESTO DE ESPECIES=0%] EDAD POR COMPARACION CON IFN2.
18,[PIESMAY 014-021] COMPROBADO Ø.
18,[PIES MAYORES] 021 A 10.0 M. Y 146 G. NO ENTRA POR POCA DISTANCIA.
18,[SELVICULTURA] PODAS ANTERIORES AL IFN2.                                                 PRESENTE JUAN DOMÉNECH DE TRAGSATEC.",98,99,"07/18/07 00:00:00","12/30/99 08:23:23","07/18/07 00:00:00","12/30/99 10:07:04",NA,"975","320","90","6",1,131,131,1,132,132,"T",9,"18.1348.A.1"
