"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"5880",5,444,"A","1",0,"1982","04","4740","1998","","4-3",2019,1,1,1,75,75,1,2,3,2,2,4,1,2,1,1,8,3,NA,NA,0,0,0,0,0,15,0,10,0,2,2,2,"Parcela localizada por referencias de fotos aereas, croquis y pies mayores
[ClaEsp. Resto de especies=10%]He dejado el 10% para el resto de especies
[Matorral]Fuera de 10M hay Cytisus y Cistus ladanifer
[Pies Mayores]Pie 1 distancia comprobada
Pie 2 distancia comprobada
Pie 3 distancia comprobada
Pie 4 distancia comprobada
Pie 8 bifurcado a 9.8M
A 110G y 18.3M un silvestre no entra justo por diametro(419/427)
Pie 10 distancia comprobada
Pie 11 distancia comprobada
Pie 12 distancia comprobada
Pie 13 distancia comprobada
Pie 14 distancia comprobada
Pie 18 distancia comprobada
Pie 19 distancia comprobada
Pie 20 distancia comprobada
Pie 21 distancia comprobada
Pie 23 distancia comprobada
Pie 25 distancia comprobada
A 322G y 21.4M un silvestre no entra justo por diametro(405/435)
Pie 35 distancia comprobada
Pie 36 distancia comprobada
Pie 37 distancia comprobada
Pie 38 distancia comprobada
Pie 39 distancia comprobada",2019-08-20,2000-01-01,2019-08-20,2000-01-01,5,"5.444","5.444.A.1"
"6039",5,697,"A","1",0,"1985","K","0012","1998","","2-4",2019,1,1,1,100,75,1,2,1,2,2,4,1,2,1,1,8,3,NA,NA,1,0,0,0,0,245,0,9.75,0,2,2,1,"Parcela localizada por fotos aereas, ortofotos y referencias de croquis y pies mayores.
[ClaEsp. Resto de especies=10%] Dejo el 10% para el resto de especies.
[Regeneración] Fuera de 5m hay regeneracion de P. sylvestris.
[Pies Mayores]Pie 1 distancia comprobada
Pie 2 distancia comprobada
Pie 5 distancia comprobada
Pie 6 distancia comprobada
Pe 8 distancia comprobada
Pie 9 distancia comprobada
Pie 16 distancia comprobada
Pie 17 distancia comprobada
Pie 19 distancia comprobada
Pie 20 distancia comprobada
Pie 21 distancia comprobada
Pie 30 distancia comprobada
Pie 32 altura comprobada",2019-08-13,2000-01-01,2019-08-13,2000-01-01,5,"5.697","5.697.A.1"
"6118",5,846,"A","1",0,"1985","M","0009","1997","","3-4",2019,1,1,2,95,85,1,2,2,2,2,4,1,2,1,1,8,3,NA,NA,0,0,0,1,0,170,0,10.5,0,2,2,2,"[Pies Mayores]A 167g hay un 25 que no entra por distancia:10.1 mtrs al lateral.
a 221g y 13.4 mtrs hay un 26 que no entra por diametro:221-224.
a 392g hay un 26 que no entra por distancia:15.1 mtrs al lateral.",2019-07-11,2000-01-01,2019-07-11,2000-01-01,5,"5.846","5.846.A.1"
"6245",5,1055,"A","1",0,"1985","J","0010","1997","","2-1",2019,1,1,1,98,80,1,2,2,2,2,4,1,2,1,1,5,1,NA,NA,1,0,NA,0,NA,335,NA,7.75,NA,1,2,1,"PARCELA LOCALIZADA CON ORTOFOTO CROQUIS Y PIES IFN3.
ORTOFOTO MARCA SOLAPE DE TESELAS PERO EN CAMPO SE COMRUEBA QUE LOS LIMITES DE LA TESELA ESTAN A MAS DE 25M.
[ClaEsp]10% RESTO ESPECIES

[Pies Mayores]
PIE 019 DIAMETROS COMPROBADOS.",2019-07-15,2000-01-01,2019-07-15,2000-01-01,5,"5.1055","5.1055.A.1"
"8168",9,355,"A","1",0,"1985","K","0008","1997","","2-3",2018,1,1,2,100,70,1,1,2,2,1,4,1,2,1,1,5,5,NA,NA,0,4,0,3,0,165,NA,5,NA,2,2,2,"PARCELA LOCALIZADA CON FOTOS AEREA, ORTOFOTO, CROQUIS Y PIES IFN3. 
[Regeneración]
[Matorral]
GAYUBA A MAS DE 10M.
[Pies Mayores]PIES 8-16 ALTURA COMPROBADA TIENEN LA COPA PARTIDA.
PIES 14-15 MEDIDOS A 1.5 M PORQUE ESTAN FUSIONADOS.
PIE 23 ALTURA Y FORMA COMPROBADA.",2018-09-06,2000-01-01,2018-09-06,2000-01-01,9,"9.355","9.355.A.1"
"8229",9,107,"A","1",0,"1997","","4-4","","","",2018,1,1,1,90,80,1,2,2,3,1,4,1,2,1,1,8,10,NA,NA,0,0,0,0,0,398,0,5,0,2,3,2,"PARCELA LOCALIZADA CON CROQUIS Y PIES MAYORES IFN3.
[Pies Mayores]
ESPECIE COMPROBADA PIE 21
A 157G Y 4.1M HAY UN 45 QUE NO ENTRA POR DIAMETROS (67;73)
PIE 34 MEDIDO A 1M POR BIFURCACION.
PAE COMPROBADO PIE 45
PIE 50 MEDIDO A 1M POR BIFURCACION.
PIE 57 MEDIDO A 1M POR BIFURCACION.
PIE 50 A CAUSA DEL VIENTO SE ESTA ABRIENDO LA BIFURCACION Y TERMINARA ROMPIENDOSE.
FORMA COMPROBADA PIE 53
A 343G Y 14M HAY UN 25 QUE NO ENTRA POR DIAMETROS (222;209)
A 345G Y 11.6M HAY UN 25 QUE NO ENTRA POR DIAMETROS (218;224)
ALTURA COMPROBADA PIE 62
CODIGO 311: PROCESIONARIA.",2018-06-04,2000-01-01,2018-06-04,2000-01-01,9,"9.107","9.107.A.1"
"8230",9,108,"A","1",0,"1984","M","0005","1997","","3-4",2018,1,1,2,100,70,1,2,2,3,2,4,1,2,1,1,5,8,NA,NA,0,0,0,0,0,207,0,8,0,2,2,2,"[Pies Mayores]pie 6 paes comprobados.
pie 17 altura comprobada y forma distinta.
[Especies Presentes]en los alrededores de la parcela hay un pinaster.
no he barrenado el rebollo por estar muy afectados por el ataque de insectos perforadores y hongos.",2018-04-18,2000-01-01,2018-04-18,2000-01-01,9,"9.108","9.108.A.1"
"8395",9,959,"A","1",0,"1985","K","0006","1997","","1-2",2018,1,1,2,100,80,1,2,1,2,1,4,1,2,1,1,1,7,NA,NA,1,0,0,0,0,272,392,8.25,5.5,1,2,2,"[ClaEsp]EL 10% RESTANTE AL AVELLANO.
[Matorral]ENCUENTRO CENTRO DE PARCELA. DEJO UN TROZO DE PLASTICO DENTRO DEL REJON.
[Pies Mayores]N1 ALTURA COMP.N2 ALTURA COMP.N7 ALTURA COMP.N9 ALTURA COMP.N19 SP COMP.PINO SILVESTRE A 198G NO ENTRA POR DM.QUEJIGO A 202G NO ENTRA POR DM.LARICIO A 321G NO ENTRA POR DM.",2018-04-03,2000-01-01,2018-04-03,2000-01-01,9,"9.959","9.959.A.1"
"8626",9,717,"A","1",0,"1985","M","0004","1997","","3-4",2018,1,1,1,100,95,1,2,2,2,2,4,1,2,1,1,6,4,NA,NA,0,0,0,0,0,220,NA,11.75,NA,2,2,2,"[ClaEsp. Resto de especies=10%]
rejon encontrado por fotos y pies del ifn3[Pies Mayores]pie a 108g no entra por distancia 
pie a 114g,290g no entra por diametro 
rumbos, distancias, calidades y formas comprobadas (4, 5, 11, 26, 27, 31)
pae 7 comprobada ",2018-06-15,2000-01-01,2018-06-15,2000-01-01,9,"9.717","9.717.A.1"
"8758",9,919,"A","1",0,"1985","L","0003","1997","","3-1",2018,1,1,2,98,65,1,1,2,2,2,4,1,2,1,1,8,2,NA,NA,1,0,0,0,0,333,NA,5.5,NA,2,2,2,"[Pies Mayores] ARBOL N 16 ESPECIE COMPROBADA. AL DAR LAS OCUPACIONES HE RECORRIDO LA TESELA Y HE COMPROBADO QUE LA ABUNDANCIA DE PINUS NIGRA ES MAYOR QUE EN LA PARCELA. SUCEDIENDO LO MISMO CON Q SUBER Y Q ILEX. PARCELA LOCALIZADA Y LEVANTADA POR EL AUXILIAR Y HA ESTADO PRESENTE JUAN DEL VALLE",2018-05-04,2000-01-01,2018-05-04,2000-01-01,9,"9.919","9.919.A.1"
